397,1559916919084,1559916919101,,1559916929075,17,9991
398,1559916919134,1559916919155,,1559916929075,21,9941
399,1559916919176,1559916919194,,1559916929075,18,9899
401,1559916919286,1559916919306,,1559916929075,20,9789
402,1559916919330,1559916919351,,1559916929075,21,9745
403,1559916919388,1559916919405,,1559916929075,17,9687
404,1559916919427,1559916919448,,1559916929075,21,9648
407,1559916919555,1559916919576,,1559916929075,21,9520
411,1559916919769,1559916919787,,1559916929075,18,9306
412,1559916919808,1559916919826,,1559916929075,18,9267
413,1559916919848,1559916919866,,1559916929075,18,9227
414,1559916919899,1559916919917,,1559916929075,18,9176
415,1559916919938,1559916919957,,1559916929076,19,9138
418,1559916920060,1559916920078,,1559916929076,18,9016
420,1559916920147,1559916920165,,1559916929076,18,8929
424,1559916920304,1559916920322,,1559916929076,18,8772
425,1559916920344,1559916920361,,1559916929076,17,8732
426,1559916920389,1559916920407,,1559916929076,18,8687
427,1559916920429,1559916920447,,1559916929076,18,8647
428,1559916920468,1559916920512,,1559916929076,44,8608
433,1559916920709,1559916920731,,1559916929076,22,8367
434,1559916920760,1559916920779,,1559916929076,19,8316
435,1559916920802,1559916920823,,1559916929076,21,8274
436,1559916920847,1559916920890,,1559916929076,43,8229
437,1559916920912,1559916920932,,1559916929076,20,8164
438,1559916920955,1559916920977,,1559916929076,22,8121
439,1559916921004,1559916921024,,1559916929076,20,8072
440,1559916921045,1559916921064,,1559916929076,19,8031
441,1559916921086,1559916921132,,1559916929077,46,7991
442,1559916921154,1559916921174,,1559916929077,20,7923
443,1559916921197,1559916921217,,1559916929077,20,7880
444,1559916921251,1559916921274,,1559916929077,23,7826
445,1559916921297,1559916921316,,1559916929077,19,7780
446,1559916921341,1559916921387,,1559916929077,46,7736
447,1559916921409,1559916921428,,1559916929077,19,7668
448,1559916921452,1559916921499,,1559916929077,47,7625
449,1559916921523,1559916921543,,1559916929077,20,7554
450,1559916921566,1559916921585,,1559916929077,19,7511
451,1559916921628,1559916921646,,1559916929077,18,7449
452,1559916921668,1559916921689,,1559916929077,21,7409
453,1559916921711,1559916921758,,1559916929077,47,7366
454,1559916921780,1559916921800,,1559916929077,20,7297
455,1559916921822,1559916921870,,1559916929077,48,7255
456,1559916921894,1559916921915,,1559916929077,21,7183
457,1559916921939,1559916921963,,1559916929077,24,7138
461,1559916922117,1559916922136,,1559916929077,19,6960
462,1559916922158,1559916922175,,1559916929077,17,6919
463,1559916922197,1559916922251,,1559916929077,54,6880
464,1559916922274,1559916922295,,1559916929077,21,6803
465,1559916922320,1559916922341,,1559916929077,21,6757
466,1559916922368,1559916922388,,1559916929078,20,6710
467,1559916922410,1559916922428,,1559916929078,18,6668
468,1559916922450,1559916922500,,1559916929078,50,6628
469,1559916922521,1559916922539,,1559916929078,18,6557
470,1559916922560,1559916922582,,1559916929078,22,6518
471,1559916922624,1559916922642,,1559916929078,18,6454
472,1559916922664,1559916922682,,1559916929078,18,6414
473,1559916922703,1559916922721,,1559916929078,18,6375
474,1559916922757,1559916922775,,1559916929078,18,6321
475,1559916922797,1559916922816,,1559916929078,19,6281
476,1559916922838,1559916922890,,1559916929078,52,6240
477,1559916922914,1559916922934,,1559916929078,20,6164
478,1559916922956,1559916922975,,1559916929078,19,6122
479,1559916923020,1559916923038,,1559916929078,18,6058
480,1559916923062,1559916923081,,1559916929078,19,6016
484,1559916923275,1559916923296,,1559916929078,21,5803
485,1559916923318,1559916923335,,1559916929078,17,5760
486,1559916923357,1559916923402,,1559916929078,45,5721
488,1559916923461,1559916923477,,1559916929078,16,5617
489,1559916923522,1559916923543,,1559916929078,21,5556
490,1559916923565,1559916923582,,1559916929078,17,5513
493,1559916923685,1559916923701,,1559916929079,16,5394
505,1559916924184,1559916924203,,1559916929079,19,4895
507,1559916924276,1559916924294,,1559916929079,18,4803
508,1559916924316,1559916924334,,1559916929079,18,4763
509,1559916924355,1559916924405,,1559916929079,50,4724
510,1559916924429,1559916924450,,1559916929079,21,4650
511,1559916924474,1559916924492,,1559916929079,18,4605
512,1559916924524,1559916924542,,1559916929079,18,4555
513,1559916924564,1559916924581,,1559916929079,17,4515
514,1559916924603,1559916924621,,1559916929079,18,4476
515,1559916924652,1559916924669,,1559916929079,17,4427
518,1559916924772,1559916924792,,1559916929079,20,4307
519,1559916924814,1559916924833,,1559916929079,19,4265
520,1559916924856,1559916924903,,1559916929079,47,4223
521,1559916924926,1559916924949,,1559916929079,23,4153
522,1559916924971,1559916924989,,1559916929079,18,4108
523,1559916925033,1559916925054,,1559916929079,21,4046
524,1559916925076,1559916925093,,1559916929079,17,4003
525,1559916925115,1559916925157,,1559916929079,42,3964
526,1559916925178,1559916925196,,1559916929079,18,3901
527,1559916925218,1559916925234,,1559916929079,16,3861
528,1559916925278,1559916925295,,1559916929080,17,3802
529,1559916925317,1559916925333,,1559916929080,16,3763
530,1559916925355,1559916925372,,1559916929080,17,3725
531,1559916925402,1559916925422,,1559916929080,20,3678
535,1559916925563,1559916925579,,1559916929080,16,3517
536,1559916925601,1559916925618,,1559916929080,17,3479
537,1559916925655,1559916925672,,1559916929080,17,3425
538,1559916925694,1559916925710,,1559916929080,16,3386
539,1559916925732,1559916925749,,1559916929080,17,3348
540,1559916925784,1559916925803,,1559916929080,19,3296
541,1559916925832,1559916925857,,1559916929080,25,3248
542,1559916925879,1559916925927,,1559916929080,48,3201
543,1559916925949,1559916925966,,1559916929080,17,3131
544,1559916925988,1559916926034,,1559916929080,46,3092
545,1559916926056,1559916926073,,1559916929080,17,3024
546,1559916926094,1559916926111,,1559916929080,17,2986
547,1559916926159,1559916926184,,1559916929080,25,2921
548,1559916926208,1559916926238,,1559916929080,30,2872
549,1559916926282,1559916926300,,1559916929080,18,2798
550,1559916926324,1559916926340,,1559916929080,16,2756
551,1559916926363,1559916926379,,1559916929080,16,2717
553,1559916926450,1559916926470,,1559916929081,20,2631
557,1559916926627,1559916926667,,1559916929081,40,2454
558,1559916926689,1559916926710,,1559916929081,21,2392
561,1559916926818,1559916926836,,1559916929081,18,2263
572,1559916927291,1559916927310,,1559916929081,19,1790
613,1559916929054,1559916929074,,1559916929081,20,27
614,1559916929098,1559916929122,,1559916940409,24,11311
623,1559916929493,1559916929512,,1559916940410,19,10917
631,1559916929852,1559916929873,,1559916940410,21,10558
632,1559916929897,1559916929947,,1559916940410,50,10513
633,1559916929969,1559916929988,,1559916940410,19,10441
635,1559916930067,1559916930087,,1559916940410,20,10343
637,1559916930142,1559916930161,,1559916940410,19,10268
638,1559916930192,1559916930211,,1559916940410,19,10218
639,1559916930233,1559916930253,,1559916940410,20,10177
640,1559916930277,1559916930326,,1559916940410,49,10133
641,1559916930348,1559916930366,,1559916940410,18,10062
642,1559916930388,1559916930412,,1559916940410,24,10022
643,1559916930443,1559916930463,,1559916940410,20,9967
644,1559916930486,1559916930509,,1559916940410,23,9924
645,1559916930531,1559916930574,,1559916940410,43,9879
646,1559916930596,1559916930615,,1559916940411,19,9815
647,1559916930638,1559916930658,,1559916940411,20,9773
648,1559916930698,1559916930717,,1559916940411,19,9713
649,1559916930740,1559916930766,,1559916940411,26,9671
650,1559916930790,1559916930837,,1559916940411,47,9621
651,1559916930859,1559916930881,,1559916940411,22,9552
652,1559916930904,1559916930952,,1559916940411,48,9507
653,1559916930974,1559916930994,,1559916940411,20,9437
654,1559916931015,1559916931041,,1559916940411,26,9396
655,1559916931077,1559916931098,,1559916940411,21,9334
656,1559916931120,1559916931142,,1559916940411,22,9291
657,1559916931163,1559916931209,,1559916940411,46,9248
658,1559916931231,1559916931251,,1559916940411,20,9180
659,1559916931273,1559916931294,,1559916940411,21,9138
698,1559916932912,1559916932928,,1559916940411,16,7499
699,1559916932971,1559916932987,,1559916940411,16,7440
701,1559916933045,1559916933064,,1559916940412,19,7367
702,1559916933098,1559916933116,,1559916940412,18,7314
703,1559916933139,1559916933158,,1559916940412,19,7273
704,1559916933180,1559916933223,,1559916940412,43,7232
705,1559916933245,1559916933261,,1559916940412,16,7167
706,1559916933283,1559916933300,,1559916940412,17,7129
707,1559916933352,1559916933371,,1559916940412,19,7060
708,1559916933393,1559916933413,,1559916940412,20,7019
709,1559916933435,1559916933480,,1559916940412,45,6977
710,1559916933502,1559916933518,,1559916940412,16,6910
712,1559916933573,1559916933619,,1559916940412,46,6839
713,1559916933642,1559916933662,,1559916940412,20,6770
715,1559916933729,1559916933746,,1559916940412,17,6683
716,1559916933768,1559916933784,,1559916940412,16,6644
718,1559916933854,1559916933870,,1559916940412,16,6558
719,1559916933892,1559916933908,,1559916940413,16,6521
720,1559916933930,1559916933946,,1559916940413,16,6483
721,1559916933981,1559916933997,,1559916940413,16,6432
728,1559916934267,1559916934282,,1559916940413,15,6146
734,1559916934517,1559916934535,,1559916940413,18,5896
735,1559916934556,1559916934572,,1559916940413,16,5857
