
5751717.257212268,24389172
2.426323594172779E7,25582445
2.4806891626890756E7,24085036
2.358250563280116E7,22428295
2.1637223106157113E7,20725742
1.9866155795336787E7,19062782
1.7754622706790123E7,17297217
1.658648658938053E7,15603828
1.4851575444444444E7,13382585
1.247389281958763E7,11645029
1.0707182561085973E7,9945951
9186372.37416481,8120558
7187161.206936416,6391536
5652274.83919598,4443100
3374391.911627907,2705534
1821899.745683931,1279823
960052.3274907749,65128
1583856.5609756098,6
924550.2578125,78
892624.9292929292,88
1086131.6600660067,1098
857902.0467532468,1006
604852.8546798029,3
1724204.2393162393,224
967994.5593220339,14
1138084.4915254237,0
908866.7461928934,9
2048439.661971831,1
732382.0188679246,0
987645.4883720931,3
1044369.4078947369,1
982344.3338345864,1098
934856.5873893806,27485
709179.1637831603,62196
864800.0755919855,22716
